#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14]
6211, 2052.65, -1, 79, 0.00799361, 0.00446804, 1.99374, 0.0248011, 0.0315749, 0.0111176, 0.0416614, 0.741, 2068, 2048, 2552
6212, 2083.76, -1, 79, 0.0074002, 0.00525344, 1.99364, 0.025055, 0.0333004, 0.00949856, 0.0427421, 0.742, 2064, 2036, 2500
6213, 2118.55, -1, 79, 0.00682424, 0.00521853, 1.99386, 0.0237838, 0.0220446, 0.0081618, 0.0334402, 0.743, 2048, 2032, 2568
6214, 2145.31, -1, 79, 0.00567232, 0.00481711, 1.99386, 0.0236367, 0.0197072, 0.00775498, 0.0317365, 0.744, 2044, 2032, 2556
6215, 2175.93, -1, 79, 0.00350811, 0.00350811, 1.99406, 0.0240535, 0.0206132, 0.00304957, 0.0318241, 0.743, 2040, 2024, 2552
6216, 2207.78, -1, 79, 0.00258309, -0.000977384, 1.99385, 0.0213596, 0.0116247, 0.00086232, 0.0243333, 0.743, 2040, 2024, 2560
6217, 2235.82, -1, 79, 0.00244346, -0.00626573, 1.99379, 0.0226382, 0.0210502, 0.00137861, 0.0309435, 0.744, 2044, 2012, 2564
6218, 2268.23, -1, 79, 0.00235619, -0.00912807, 1.99404, 0.016112, 0.0264903, -0.00281785, 0.0311331, 0.743, 1976, 2040, 2532
6219, 2297.47, -1, 79, 0.00204204, -0.0102974, 1.99376, 0.0171021, 0.0227495, -0.00361132, 0.0286891, 0.743, 2096, 2020, 2532
6220, 2333.68, -1, 79, 0.00113446, -0.0116763, 1.99343, 0.014409, 0.0277303, -0.00278216, 0.031374, 0.744, 2008, 2076, 2512
6221, 2363.48, -1, 79, 0.000785398, -0.01213, 1.99353, 0.0119016, 0.0249883, -0.00286301, 0.0278255, 0.744, 2060, 2052, 2504
6222, 2395.5, -1, 79, -0.00020944, -0.0123046, 1.99353, 0.0078546, 0.0256944, -0.0026383, 0.0269973, 0.745, 1964, 2064, 2560
6223, 2421.15, -1, 79, -0.000645772, -0.0117635, 1.99353, 0.0032558, 0.023589, -0.00419554, 0.0241794, 0.745, 2024, 2068, 2524
6224, 2451.22, -1, 79, -0.000593412, -0.0113097, 1.99378, -0.00415372, 0.0244046, -0.00493525, 0.0252427, 0.745, 1968, 2076, 2556
6225, 2486.58, -1, 79, -0.000139626, -0.0101578, 1.99439, -0.00834382, 0.0321968, -0.00634108, 0.0338595, 0.744, 1980, 2056, 2540
6226, 2511.78, -1, 79, 0.000471239, -0.00993092, 1.99477, -0.00550016, 0.0356308, -0.00495413, 0.0363916, 0.745, 1984, 2072, 2564
6227, 2545.82, -1, 79, 0.00174533, -0.00944223, 1.99517, -0.0113178, 0.0390666, -0.00727853, 0.0413191, 0.744, 1996, 2028, 2528
6228, 2572.93, -1, 79, 0.00321141, -0.00895354, 1.99571, -0.0288822, 0.0428578, -0.00646459, 0.0520842, 0.745, 1984, 2024, 2540
6229, 2603.46, -1, 79, 0.00387463, -0.00862193, 1.99599, -0.0265357, 0.0458196, -0.00577599, 0.053263, 0.745, 2008, 1996, 2532
6230, 2633.19, -1, 79, 0.00314159, -0.00546288, 1.99645, -0.0188233, 0.0455653, -0.0067699, 0.0497628, 0.745, 2012, 2084, 2560
6231, 2663.58, -1, 79, 0.000698132, 0.000837758, 1.99695, -0.0283875, 0.0405604, -0.00745244, 0.0500653, 0.745, 2000, 2000, 2560
6232, 2695.02, -1, 79, -0.00158825, 0.0108036, 1.99711, -0.0168427, 0.0408669, -0.00712501, 0.0447722, 0.745, 2016, 1984, 2512
6233, 2725.01, -1, 79, -0.00205949, 0.0208218, 1.9973, -0.00757966, 0.0393669, -0.00733404, 0.0407553, 0.745, 2052, 2080, 2544
6234, 2754.87, -1, 79, -0.0023911, 0.0326726, 1.99758, -0.014864, 0.0359359, -0.00860068, 0.0398283, 0.744, 2044, 1996, 2576
6235, 2786.15, -1, 79, -0.00202458, 0.0462338, 1.99812, -0.014987, 0.0333587, -0.00750922, 0.0373336, 0.745, 2056, 2012, 2568
6236, 2816.38, -1, 79, -0.00282743, 0.0574039, 1.99788, -0.000157038, 0.0393297, -0.00610381, 0.0398009, 0.745, 2028, 2004, 2572
6237, 2846.78, -1, 79, -0.00321141, 0.0654673, 1.99819, 0.010379, 0.0351486, -0.00594985, 0.0371288, 0.746, 2052, 2048, 2500
6238, 2878.07, -1, 79, -0.00331613, 0.0725708, 1.99858, 0.0200251, 0.0380664, -0.0071775, 0.043607, 0.745, 2024, 2032, 2560
6239, 2908.58, -1, 79, -0.00340339, 0.0809135, 1.9988, 0.0457047, 0.0381267, -0.00700149, 0.0599298, 0.745, 2036, 2044, 2556
6240, 2939.01, -1, 79, -0.00352557, 0.0869523, 1.99933, 0.0648576, 0.0500739, -0.00873512, 0.0824027, 0.745, 2036, 2056, 2560
6241, 2970.29, -1, 79, -0.00359538, 0.0910189, 1.99954, 0.0872304, 0.0485303, -0.00800913, 0.100142, 0.745, 2028, 2068, 2552
6242, 3000.47, -1, 79, -0.0037001, 0.0937591, 1.99959, 0.107831, 0.0388435, -0.00582316, 0.114762, 0.746, 2056, 2052, 2528
6243, 3030.95, -1, 79, -0.00338594, 0.0964294, 1.99992, 0.120539, 0.0501689, -0.00568154, 0.130686, 0.746, 2056, 1992, 2520
6244, 3061.96, -1, 79, -0.00289725, 0.0985936, 1.99999, 0.128771, 0.0524969, -0.00670933, 0.139223, 0.746, 2008, 2096, 2540
6245, 3092.72, -1, 79, -0.00211185, 0.100269, 1.9999, 0.158188, 0.0536344, -0.00724993, 0.16719, 0.746, 2072, 2040, 2516
6246, 3122.61, -1, 79, -0.00116937, 0.100705, 1.99982, 0.19626, 0.066865, -0.00545741, 0.20741, 0.747, 2052, 2052, 2512
6247, 3153.2, -1, 79, -0.000244346, 0.100217, 2.00008, 0.234974, 0.0825649, -0.00513816, 0.24911, 0.747, 2104, 1984, 2512
6248, 3189.99, -1, 79, 0.000645772, 0.0993092, 2.00006, 0.273698, 0.0776625, -0.00288767, 0.284517, 0.749, 2108, 2000, 2508
6249, 3218.26, -1, 79, 0.00207694, 0.0985064, 2.00009, 0.298965, 0.0638497, -0.00200225, 0.305714, 0.75, 2100, 2016, 2516
6250, 3245.2, -1, 79, 0.00258309, 0.0981399, 2.00008, 0.311224, 0.0738189, -0.00272582, 0.31987, 0.75, 2028, 2036, 2540
6251, 3275.79, -1, 79, 0.00328122, 0.0972672, 1.99985, 0.33741, 0.0626103, -0.00226131, 0.343178, 0.751, 2000, 2032, 2548
6252, 3307.01, -1, 79, 0.00352557, 0.0960629, 2.00006, 0.366377, 0.0677024, -0.00327754, 0.372594, 0.752, 2056, 2020, 2524
6253, 3339.43, -1, 79, 0.00385718, 0.0949983, 2.00011, 0.378506, 0.0849304, -0.00437115, 0.387942, 0.752, 2016, 2044, 2540
6254, 3370.88, -1, 79, 0.00420624, 0.0940383, 1.99894, 0.429281, 0.0839329, -0.00590683, 0.437449, 0.753, 2004, 2060, 2496
6255, 3417.02, -1, 79, 0.00408407, 0.0933053, 1.99859, 0.463894, 0.0910667, -0.00547942, 0.47278, 0.755, 2108, 2016, 2524
6256, 3462.49, -1, 79, 0.00376991, 0.093218, 1.99788, 0.50262, 0.092557, -0.00908053, 0.511152, 0.754, 1980, 2064, 2520
6257, 3509.71, -1, 79, 0.00354302, 0.0925723, 1.99735, 0.539542, 0.0795313, -0.0120813, 0.545506, 0.754, 2108, 2008, 2488
6258, 3548.79, -1, 79, 0.00308923, 0.0914902, 1.9972, 0.580968, 0.0760932, -0.0138384, 0.586093, 0.754, 2000, 2036, 2544
6259, 3594.21, -1, 79, 0.00237365, 0.0896401, 1.99671, 0.64172, 0.0824182, -0.0223916, 0.647379, 0.751, 2012, 2020, 2552
6260, 3633.29, -1, 79, 0.00242601, 0.0884184, 1.99664, 0.664701, 0.0901604, -0.0183286, 0.671039, 0.751, 2060, 2044, 2524
6261, 3671.51, -1, 79, 0.00235619, 0.0875457, 1.99627, 0.660663, 0.0795249, -0.0176509, 0.665666, 0.751, 2068, 2036, 2488
6262, 3714.64, -1, 79, 0.00272271, 0.0868825, 1.99634, 0.720048, 0.0830297, -0.0177675, 0.725037, 0.75, 1944, 2076, 2552
6263, 3760.87, -1, 79, 0.00197222, 0.0851197, 1.99598, 0.743749, 0.0789894, -0.0169932, 0.748125, 0.75, 2012, 2048, 2532
6264, 3804.33, -1, 79, 0.0010821, 0.0840376, 1.9955, 0.761371, 0.0752662, -0.0173615, 0.76528, 0.749, 2000, 2024, 2564
6265, 3849.41, -1, 79, -0.000296706, 0.0832522, 1.99489, 0.751356, 0.0579253, -0.0172262, 0.753783, 0.749, 1988, 2052, 2520
6266, 3896.34, -1, 79, -0.000680678, 0.082973, 1.99427, 0.793509, 0.0755924, -0.0203729, 0.797362, 0.747, 2052, 2020, 2488
6267, 3941.44, -1, 79, -0.000122173, 0.0828682, 1.99456, 0.819191, 0.0812418, -0.0197895, 0.823447, 0.747, 2016, 2020, 2500
6268, 3988.44, -1, 79, -0.000174533, 0.082781, 1.9942, 0.813984, 0.0793208, -0.0206474, 0.818101, 0.745, 2048, 2068, 2524
6269, 4037.01, -1, 79, -0.00164061, 0.0828333, 1.99393, 0.825996, 0.0665159, -0.0208646, 0.828932, 0.744, 2012, 2024, 2540
6270, 4076.53, -1, 79, -0.00319395, 0.0827461, 1.99343, 0.82798, 0.0601272, -0.0238578, 0.830503, 0.742, 2024, 2052, 2492
6271, 4117.03, -1, 79, -0.00450295, 0.0821352, 1.99301, 0.846937, 0.0563233, -0.0250237, 0.849177, 0.74, 1984, 2040, 2508
6272, 4157.46, -1, 79, -0.00572468, 0.0816989, 1.99207, 0.887436, 0.0880082, -0.0212717, 0.892043, 0.739, 2016, 2064, 2552
6273, 4200.87, -1, 79, -0.00666716, 0.0821526, 1.99125, 0.911704, 0.0817734, -0.0170951, 0.915524, 0.739, 1932, 2004, 2556
6274, 4246.37, -1, 79, -0.00558505, 0.0836536, 1.99036, 0.931607, 0.0777211, -0.0212128, 0.935084, 0.736, 2036, 2068, 2544
