#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14], DroneTime[15]
4397, 2629.7, -1, 65, -0.00397935, -0.00610865, 1.9292, -0.00343681, 0.00171877, 0, 0.00384263, 0, 2044, 2032, 2528, 724504988
4398, 2668.01, -1, 65, -0.00394444, -0.00586431, 1.92939, -0.00379275, 0.00167028, 0, 0.00414425, 0, 2044, 2032, 2528, 725642271
4399, 2706.71, -1, 65, -0.00389208, -0.00572468, 1.92923, -0.00394021, 0.00158804, 0, 0.00424819, 0, 2036, 2036, 2528, 725662382
4400, 2745.45, -1, 65, -0.00376991, -0.00546288, 1.92936, -0.00380597, 0.00157794, 0, 0.00412011, 0, 2048, 2040, 2528, 725712919
4401, 2789.82, -1, 65, -0.00357792, -0.00511381, 1.92915, -0.00330508, 0.00269935, 0, 0.00426732, 0, 2024, 2028, 2532, 725762815
4402, 2832.51, -1, 65, -0.00357792, -0.00464258, 1.93095, -0.00482589, 0.00156105, 0, 0.00507209, 0, 2064, 2040, 2516, 725802977
4403, 2874.31, -1, 65, -0.00331613, -0.0047473, 1.93012, -0.00371169, 0.00167636, 0, 0.0040727, 0, 2036, 2056, 2536, 725838346
4404, 2921.19, -1, 65, -0.00314159, -0.00443314, 1.93096, -0.00360878, 0.00125306, 0, 0.00382014, 0, 2032, 2060, 2544, 725893400
4405, 2967.29, -1, 65, -0.0031765, -0.00375246, 1.93255, -0.00376704, 0.00204994, 0, 0.00428869, 0, 2064, 2032, 2520, 725938627
4406, 3007.45, -1, 65, -0.00298451, -0.00376991, 1.9315, -0.00181101, 0.00188083, 0, 0.00261099, 0, 2016, 2016, 2536, 725983793
4407, 3050.03, -1, 65, -0.00284489, -0.00345575, 1.93269, -0.00183723, 0.00260676, 0, 0.00318914, 0, 2032, 2012, 2524, 726013914
4408, 3090.78, -1, 65, -0.00277507, -0.00359538, 1.93252, -0.00228827, 0.000841579, 0, 0.00243812, 0, 2020, 2040, 2540, 726059233
4409, 3138.59, -1, 65, -0.00282743, -0.00287979, 1.93342, -0.00296163, 0.00231761, 0, 0.00376066, 0, 2052, 2024, 2512, 726099546
4410, 3182.55, -1, 65, -0.00249582, -0.00303687, 1.93264, -0.00330016, 0.00125294, 0, 0.00353, 0, 2028, 2040, 2548, 726139585
4411, 3224.39, -1, 65, -0.00251327, -0.00258309, 1.93339, -0.00350443, 0.00124682, 0, 0.00371962, 0, 2048, 2060, 2540, 726189634
4412, 3269.69, -1, 65, -0.00258309, -0.00214675, 1.934, -0.00268489, 0.00184394, 0, 0.00325711, 0, 2056, 2032, 2512, 726235289
4413, 3309.33, -1, 65, -0.00240855, -0.00240855, 1.93285, -0.00095401, 0.00131844, 0, 0.00162739, 0, 2008, 2024, 2540, 726280088
4414, 3348.89, -1, 65, -0.00219911, -0.00240855, 1.9332, -0.00166993, 0.00121796, 0, 0.0020669, 0, 2040, 2052, 2544, 726325254
4415, 3387.78, -1, 65, -0.00225147, -0.00225147, 1.93362, -0.00163827, 0.000964926, 0, 0.00190132, 0, 2008, 2024, 2540, 726355650
4416, 3440.42, -1, 65, -0.00218166, -0.00228638, 1.93426, 0.000124311, 0.00191706, 0, 0.00192109, 0, 2020, 2012, 2544, 726410643
4417, 3487.85, -1, 65, -0.00190241, -0.00247837, 1.93398, -0.00140708, 0.000440707, 0, 0.00147448, 0, 2040, 2048, 2520, 726450773
4418, 3534.5, -1, 65, -0.00178024, -0.00232129, 1.93465, -0.00132032, 0.00107543, 0, 0.00170288, 0, 2024, 2032, 2536, 726501127
4419, 3585.07, -1, 65, -0.00162316, -0.00219911, 1.93463, -0.000109207, 0.00166002, 0, 0.00166361, 0, 2016, 2020, 2544, 726551237
4420, 3634.86, -1, 65, -0.00240855, -0.00204204, 1.93421, -0.00012914, -0.000321994, 0, 0.000346926, 0, 2052, 2040, 2528, 726606474
4421, 3684.32, -1, 65, -0.00230383, -0.00190241, 1.93238, -0.000534983, 0.000997739, 0, 0.00113212, 0, 2060, 2056, 2516, 727753949
4422, 3733.93, -1, 65, -0.00240855, -0.001309, 1.93239, -0.00271684, 0.00118942, 0, 0.00296579, 0, 2020, 2036, 2492, 727804090
4423, 3781.76, -1, 65, -0.00303687, -0.00136136, 1.93267, -0.00176201, -0.000615916, 0, 0.00186656, 0, 2032, 2024, 2532, 727859418
