#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude[12], PosLongitude[13], PosElevation[14]
1303, 1267.76, -1, 89, 0.00441568, -0.00652753, 1.73871, 0.0167648, -0.00812478, 0.0494995, 0.0528892, 0.719, 0, 0, 0
1304, 1298.88, -1, 89, 0.00605629, -0.0069115, 1.73908, 0.0162898, -0.00738921, 0.056241, 0.059017, 0.72, 0, 0, 0
1305, 1329.55, -1, 89, 0.00699877, -0.00748746, 1.73737, 0.0131593, -0.00837041, 0.059905, 0.0619018, 0.722, 0, 0, 0
1306, 1359.27, -1, 89, 0.0069115, -0.00645772, 1.73931, 0.00654144, -0.0130928, 0.0598304, 0.0615945, 0.723, 0, 0, 0
1307, 1393.85, -1, 89, 0.00631809, -0.00558505, 1.73908, 0.00397149, -0.0239662, 0.0513258, 0.0567845, 0.722, 0, 0, 0
1308, 1420.69, -1, 89, 0.00561996, -0.00500909, 1.73877, 0.00600376, -0.0244779, 0.0498054, 0.0558192, 0.723, 0, 0, 0
1309, 1453.6, -1, 89, 0.00441568, -0.00488692, 1.73971, 0.00603027, -0.0267581, 0.0542092, 0.0607535, 0.724, 0, 0, 0
1310, 1485.2, -1, 89, 0.00298451, -0.00490438, 1.73945, 0.00695268, -0.0239875, 0.0597148, 0.0647271, 0.726, 0, 0, 0
1311, 1511.21, -1, 89, 0.0020944, -0.00467748, 1.73938, 0.00663997, -0.0219395, 0.0610568, 0.0652178, 0.728, 0, 0, 0
1312, 1547.93, -1, 89, 0.00150098, -0.00366519, 1.73924, 0.00417583, -0.0236455, 0.0555505, 0.0605178, 0.728, 0, 0, 0
1313, 1573.02, -1, 89, 0.000837758, -0.00328122, 1.73929, 0.00512487, -0.0258273, 0.0543841, 0.0604231, 0.729, 0, 0, 0
1314, 1609.69, -1, 89, 3.49066e-05, -0.00324631, 1.73905, 0.00837983, -0.0260195, 0.0534418, 0.0600272, 0.73, 0, 0, 0
1315, 1639.29, -1, 89, -5.23599e-05, -0.00352557, 1.73912, 0.00600741, -0.0253756, 0.0561628, 0.0619215, 0.731, 0, 0, 0
1316, 1670.28, -1, 89, -0.000366519, -0.00359538, 1.73931, 0.00368844, -0.0271423, 0.0571202, 0.0633485, 0.733, 0, 0, 0
1317, 1699.17, -1, 89, -0.000925025, -0.00361283, 1.73875, 0.00236938, -0.0255338, 0.0520539, 0.0580275, 0.733, 0, 0, 0
1318, 1727.63, -1, 89, -0.00132645, -0.00336849, 1.73898, 0.00223377, -0.0283154, 0.0534466, 0.0605251, 0.734, 0, 0, 0
1319, 1758.51, -1, 89, -0.00188496, -0.00335103, 1.73948, 0.000978723, -0.0260079, 0.0537963, 0.0597613, 0.736, 0, 0, 0
1320, 1788.97, -1, 89, -0.00289725, -0.00314159, 1.73905, -0.000329668, -0.0260771, 0.0521383, 0.0582969, 0.737, 0, 0, 0
1321, 1824.63, -1, 89, -0.00410152, -0.00237365, 1.73978, -0.000566224, -0.0249982, 0.0517408, 0.057466, 0.738, 0, 0, 0
1322, 1871.28, -1, 89, -0.00572468, -0.00178024, 1.73941, -0.000138764, -0.0156356, 0.0548261, 0.0570122, 0.741, 0, 0, 0
1323, 1915.48, -1, 89, -0.00595157, -0.00144862, 1.73878, -0.00313939, -0.0132989, 0.0554382, 0.0570973, 0.743, 0, 0, 0
1324, 1959.6, -1, 89, -0.00445059, -0.000610865, 1.73985, -0.00665249, -0.0115882, 0.0482722, 0.0500874, 0.743, 0, 0, 0
1325, 1999.45, -1, 89, -0.00495674, 0.000575959, 1.73917, -0.00960476, -0.0190886, 0.050846, 0.0551538, 0.745, 0, 0, 0
1326, 2046.57, -1, 89, -0.00542797, 0.00164061, 1.74009, -0.0102692, -0.0220977, 0.047023, 0.0529616, 0.747, 0, 0, 0
1327, 2084.37, -1, 89, -0.00673697, 0.00347321, 1.74032, -0.00928904, -0.0169814, 0.0400631, 0.0444939, 0.747, 0, 0, 0
1328, 2128.08, -1, 89, -0.00808087, 0.00408407, 1.73945, -0.0011361, -0.00966285, 0.0414882, 0.0426138, 0.748, 0, 0, 0
1329, 2174.31, -1, 89, -0.00797615, 0.00392699, 1.73992, 0.0017659, -0.00577195, 0.037941, 0.0384182, 0.749, 0, 0, 0
1330, 2214.74, -1, 89, -0.00757473, 0.00368264, 1.73964, 0.00336873, -0.00361209, 0.0349696, 0.0353167, 0.749, 0, 0, 0
1331, 2256.52, -1, 89, -0.00729548, 0.00270526, 1.73988, 0.00405549, 0.0017576, 0.0293749, 0.0297055, 0.749, 0, 0, 0
1332, 2296.35, -1, 89, -0.00628319, 0.00247837, 1.73995, 0.00416264, 0.00140384, 0.0319187, 0.0322196, 0.75, 0, 0, 0
1333, 2344.62, -1, 89, -0.00565487, 0.00286234, 1.74046, 0.0117657, 0.00316777, 0.0282428, 0.0307591, 0.751, 0, 0, 0
1334, 2387.62, -1, 89, -0.00572468, 0.00289725, 1.74036, 0.00660463, 0.0105214, 0.0267243, 0.0294705, 0.752, 0, 0, 0
1335, 2434.88, -1, 89, -0.00579449, 0.00225147, 1.74049, 0.00912996, 0.0122515, 0.0316772, 0.0351696, 0.753, 0, 0, 0
1336, 2481.16, -1, 89, -0.00617847, 0.00153589, 1.74055, 0.00629735, 0.0134559, 0.0285915, 0.032221, 0.754, 0, 0, 0
1337, 2524.34, -1, 89, -0.00624828, 0.00136136, 1.74107, 0.0054464, 0.0101144, 0.0326253, 0.0345886, 0.755, 0, 0, 0
1338, 2573.67, -1, 89, -0.00528835, 0.000191986, 1.74182, 0.00516747, 0.0164966, 0.0291175, 0.0338625, 0.756, 0, 0, 0
1339, 2614.14, -1, 89, -0.00479966, -0.000349066, 1.74194, 0.00519498, 0.0184823, 0.02426, 0.0309375, 0.756, 0, 0, 0
1340, 2662.71, -1, 88, -0.0047473, -0.0010472, 1.74227, 0.00606077, 0.0181133, 0.0226662, 0.0296408, 0.757, 0, 0, 0
